dates,France,USA
2020-07-20,0,1
2020-07-27,8,0
2020-08-03,3,0
2020-08-10,4,0
2020-08-17,0,0
2020-08-24,1,2
2020-08-31,3,0
2020-09-07,4,1
2020-09-14,7,6
2020-09-21,4,1
2020-09-28,11,5
2020-10-05,20,5
2020-10-12,33,4
2020-10-19,21,4
2020-10-26,14,6
2020-11-02,9,7
2020-11-09,6,2
2020-11-16,2,1
2020-11-23,2,5
2020-11-30,1,8
2020-12-07,1,4
2020-12-14,1,2
2020-12-21,6,11
2020-12-28,1,3
2021-01-04,2,8
2021-01-11,2,3
2021-01-18,3,2
2021-01-25,0,1
2021-02-01,6,0
2021-02-08,0,0
2021-02-15,0,0
2021-02-22,0,0
2021-03-01,0,0
2021-03-08,0,0
2021-03-15,1,0
2021-03-22,0,0
2021-03-29,13,0
2021-04-05,2,0
2021-04-12,0,0
2021-04-19,1,0
2021-04-26,0,0
2021-05-03,0,0
2021-05-10,0,0
2021-05-17,0,0
2021-05-24,0,0
2021-05-31,0,0
2021-06-07,0,0
2021-06-14,0,0
2021-06-21,0,0
2021-06-28,0,0
2021-07-05,0,0
2021-07-12,0,0
2021-07-19,0,0
2021-07-26,0,0
2021-08-02,0,0
2021-08-09,7,2
2021-08-16,8,9
2021-08-23,8,7
2021-08-30,0,3
2021-09-06,4,2
2021-09-13,3,0
2021-09-20,2,2
2021-09-27,0,2
2021-10-04,2,1
2021-10-11,0,1
2021-10-18,1,0
2021-10-25,2,3
2021-11-01,3,1
2021-11-08,4,2
2021-11-15,1,2
2021-11-22,1,0
2021-11-29,3,1
2021-12-06,8,3
2021-12-13,27,6
2021-12-20,46,31
2021-12-27,39,25
2022-01-03,79,42
2022-01-10,85,42
2022-01-17,54,22
2022-01-24,24,9
2022-01-31,26,13
2022-02-07,46,26
2022-02-14,37,15
2022-02-21,29,14
2022-02-28,17,7
2022-03-07,20,7
2022-03-14,11,3
2022-03-21,30,1
